,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
1,588,0.961,0.196,0.224,0.848,0.715,53,0.325,0.65,17,7,20
2,543,2.195,0.175,0.107,0.938,0.159,44,0.526,0.95,16,11,31
3,405,1.427,0.496,0.02,0.895,0.629,35,0.4,0.87,16,9,48
4,343,0.916,0.257,0.061,0.821,0.746,30,0.12,0.68,21,13,43
5,376,2.333,0.364,0.04,0.801,0.745,31,0.467,0.8,18,7,43
6,410,1,0.261,0.312,0.919,0.74,31,0.038,0.88,18,12,43
7,389,0.404,0.244,0.054,0.851,0.688,27,0.13,0.83,14,8,29
8,1460,1.092,0.216,0.168,0.888,0.474,107,0.45,0.79,16,8,34
9,425,1.179,0.325,0.009,0.802,0.718,38,0.633,0.87,9,4,27
10,416,1.632,0.065,0.608,0.973,0.467,27,0.292,0.83,21,12,49
11,518,1.049,0.098,0.28,0.952,0.136,34,0.321,0.93,24,8,43
12,422,1.049,0.199,0.199,0.921,0.374,33,0.179,0.82,19,4,45
13,484,1.688,0.085,0.211,0.955,0.271,41,0.441,0.88,20,12,47
14,548,1.755,0.091,0.301,0.957,0.391,44,0.237,0.92,18,12,45
15,450,1.141,0.267,0.024,0.784,0.644,35,0.407,0.85,12,8,33
16,1521,2.226,0.248,0.219,0.903,0.571,107,0.724,0.86,13,6,27
17,693,1.004,0.283,0.105,0.835,0.502,54,0.5,0.83,12,6,21
18,378,0.98,0.452,0.032,0.765,0.74,36,0.393,0.79,6,9,27
19,397,1.899,0.267,0.07,0.946,0.6,32,0.37,0.93,16,12,54
20,1727,1,0.272,0.095,0.772,0.642,153,0.567,0.78,8,2,17
21,415,1.174,0.345,0.026,0.845,0.669,44,0.526,0.84,12,12,34
22,323,1.033,0.146,0.245,0.925,0.848,31,0.545,0.86,11,11,32
23,2411,1.262,0.328,0.031,0.707,0.74,196,0.631,0.87,6,2,18
24,3125,0.748,0.02,0.648,0.971,0.168,193,0.758,0.92,22,9,38
25,788,0.802,0.234,0.287,0.884,0.59,63,0.408,0.82,15,6,30
26,202,0.923,0.411,0.02,0.768,0.644,21,0.4,0.87,11,7,30
27,459,2.953,0.366,0.015,0.92,0.394,32,0.385,0.77,18,9,42
28,2774,0.992,0.304,0.168,0.823,0.591,224,0.741,0.91,13,5,18
29,700,1.481,0.263,0.056,0.82,0.708,56,0.422,0.84,15,6,27
30,204,2.846,0.49,0.024,0.914,0.532,21,0.438,0.94,14,10,38
31,469,0.988,0.004,0,0.865,0.835,41,0.333,0.83,25,12,51
32,418,1.488,0.316,0.038,0.871,0.698,40,0.156,0.88,18,10,36
33,292,0.923,0.044,0.88,0.943,0.784,29,0.4,1,23,10,36
34,619,2.096,0.36,0.037,0.873,0.747,63,0.783,0.85,13,9,27
35,1653,10.236,0.345,0.041,0.888,0.677,130,0.691,0.87,17,8,46
36,947,0.689,0.363,0.024,0.758,0.728,96,0.442,0.74,8,4,16
37,2129,1,0.232,0.032,0.752,0.685,183,0.729,0.9,7,4,18
38,1839,0.976,0.369,0.016,0.699,0.75,169,0.55,0.78,6,6,24
39,1370,0.887,0.26,0.062,0.901,0.437,102,0.642,0.85,13,5,30
40,374,0.869,0.382,0.021,0.783,0.625,23,0.211,0.63,13,5,33
41,2448,1.114,0.292,0.017,0.73,0.674,197,0.554,0.83,7,2,20
42,1085,1.427,0.17,0.061,0.949,0.171,68,0.589,0.93,13,12,50
43,2572,2.968,0.166,0.19,0.957,0.19,186,0.683,0.88,23,8,46
44,485,1.525,0.445,0.019,0.852,0.687,51,0.439,0.83,14,7,33
45,590,0.524,0.346,0.042,0.821,0.658,62,0.298,0.7,15,6,37
46,440,1.128,0.23,0.277,0.961,0.556,37,0.143,0.82,19,9,38
47,1569,0.961,0.2,0.186,0.942,0.622,106,0.536,0.83,14,7,38
48,384,1.342,0.435,0.01,0.844,0.793,37,0.31,0.69,18,11,35
49,311,0.969,0.363,0.032,0.895,0.737,30,0.348,0.74,11,11,36
